id,rating,user_id,assignment_id
1,80,1,1
2,82,1,2
3,75,1,3
4,89,1,4
5,71,1,5
6,79,1,6
7,70,1,7
8,79,1,8
9,87,1,9
10,85,1,10
11,93,2,11
12,80,2,12
13,91,2,13
14,70,2,14
15,85,2,15
16,78,2,16
17,78,2,17
18,79,2,18
19,77,2,19
20,91,2,20
21,93,2,21
22,82,3,22
23,84,3,23
24,66,3,24
25,71,3,25
26,82,3,26
27,78,3,27
28,83,3,28
29,68,3,29
30,69,3,30
31,75,3,31
32,85,3,32
33,89,3,33
34,79,3,34
35,65,4,35
36,71,4,36
37,67,4,37
38,96,4,38
39,80,4,39
40,95,4,40
41,84,4,41
42,73,4,42
43,81,4,43
44,88,4,44
45,91,4,45
46,82,4,46
47,75,4,47
48,76,4,48
49,76,4,49
50,79,5,50
51,89,5,51
52,73,5,52
53,80,5,53
54,74,5,54
55,86,5,55
56,92,5,56
57,87,5,57
58,85,5,58
59,81,5,59
60,88,5,60
61,86,5,61
62,85,5,62
63,78,5,63
64,69,5,64
65,75,6,65
66,79,6,66
67,74,6,67
68,86,6,68
69,84,6,69
70,81,6,70
71,73,6,71
72,92,6,72
73,75,6,73
74,77,6,74
75,80,6,75
76,63,6,76
77,75,6,77
78,79,6,78
79,83,6,79
80,88,7,80
81,79,7,81
82,86,7,82
83,68,7,83
84,73,7,84
85,80,7,85
86,74,7,86
87,93,7,87
88,88,7,88
89,84,7,89
90,68,7,90
91,86,7,91
92,86,8,92
93,86,8,93
94,83,8,94
95,85,8,95
96,73,8,96
97,84,8,97
98,74,8,98
99,85,8,99
100,89,8,100
101,82,8,101
102,76,8,102
103,70,9,103
104,84,9,104
105,73,9,105
106,87,9,106
107,68,9,107
108,68,9,108
109,67,9,109
110,68,9,110
111,73,9,111
112,79,9,112
113,84,9,113
114,77,9,114
115,82,9,115
116,80,9,116
117,80,10,117
118,84,10,118
119,79,10,119
120,83,10,120
121,77,10,121
122,94,10,122
123,84,10,123
