id,user_id,course_id,progress,assignment_date,quiz_score,engagement_score,assignment_grade
1,1,20,100,2024-10-14T20:07:06.783421,91,80,59
2,1,13,100,2024-10-14T20:07:06.783421,63,92,68
3,1,17,100,2024-10-14T20:07:06.783421,84,54,98
4,1,12,100,2024-10-14T20:07:06.783421,79,87,95
5,1,166,100,2024-10-14T20:07:06.783421,62,98,76
6,1,18,100,2024-10-14T20:07:06.783421,69,83,84
7,1,123,100,2024-10-14T20:07:06.783421,62,60,58
8,1,7,100,2024-10-14T20:07:06.783421,69,71,91
9,1,184,100,2024-10-14T20:07:06.783421,60,97,67
10,1,176,100,2024-10-14T20:07:06.783421,69,91,86
11,2,20,100,2024-10-14T20:07:06.783421,60,64,58
12,2,17,100,2024-10-14T20:07:06.783421,51,81,76
13,2,166,100,2024-10-14T20:07:06.783421,56,80,93
14,2,12,100,2024-10-14T20:07:06.783421,100,80,52
15,2,13,100,2024-10-14T20:07:06.783421,70,56,100
16,2,191,100,2024-10-14T20:07:06.783421,73,59,76
17,2,175,100,2024-10-14T20:07:06.783421,53,65,66
18,2,76,100,2024-10-14T20:07:06.783421,66,90,62
19,2,52,100,2024-10-14T20:07:06.783421,97,100,63
20,2,113,100,2024-10-14T20:07:06.783421,57,68,82
21,2,164,100,2024-10-14T20:07:06.783421,73,97,91
22,2,190,100,2024-10-14T20:07:06.783421,63,98,99
23,2,125,100,2024-10-14T20:07:06.783421,69,100,92
24,2,171,100,2024-10-14T20:07:06.785719,80,52,66
25,2,57,100,2024-10-14T20:07:06.785719,87,97,82
26,3,20,100,2024-10-14T20:07:06.785719,61,62,74
27,3,13,100,2024-10-14T20:07:06.785719,86,61,94
28,3,166,100,2024-10-14T20:07:06.785719,59,88,96
29,3,12,100,2024-10-14T20:07:06.785877,90,84,50
30,3,17,100,2024-10-14T20:07:06.785877,85,94,60
31,3,11,100,2024-10-14T20:07:06.785877,50,96,61
32,3,31,100,2024-10-14T20:07:06.785877,54,74,66
33,3,79,100,2024-10-14T20:07:06.785877,72,88,87
34,3,75,100,2024-10-14T20:07:06.785877,94,100,84
35,3,55,100,2024-10-14T20:07:06.785877,93,76,71
