id,is_certified,assignment_id,user_id,image
1,True,1,1,null
2,True,2,1,null
3,False,3,1,null
4,True,4,1,null
5,True,5,1,null
6,True,6,1,null
7,False,7,1,null
8,True,8,1,null
9,True,9,1,null
10,False,10,1,null
11,True,11,1,null
12,True,12,2,null
13,True,13,2,null
14,True,14,2,null
15,True,15,2,null
16,False,16,2,null
17,True,17,2,null
18,True,18,2,null
19,True,19,2,null
20,False,20,2,null
21,True,21,2,null
22,True,22,2,null
23,False,23,2,null
24,True,24,2,null
25,True,25,3,null
26,True,26,3,null
27,True,27,3,null
28,True,28,3,null
29,True,29,3,null
30,False,30,3,null
31,True,31,3,null
32,True,32,3,null
33,True,33,3,null
34,True,34,3,null
35,True,35,4,null
36,True,36,4,null
37,True,37,4,null
38,False,38,4,null
39,True,39,4,null
40,True,40,4,null
41,True,41,4,null
42,False,42,4,null
43,True,43,4,null
44,False,44,4,null
45,True,45,5,null
46,True,46,5,null
47,False,47,5,null
48,False,48,5,null
49,True,49,5,null
50,True,50,5,null
51,True,51,5,null
52,True,52,5,null
53,True,53,5,null
54,True,54,5,null
55,True,55,5,null
56,True,56,5,null
57,True,57,6,null
58,True,58,6,null
59,False,59,6,null
60,False,60,6,null
61,True,61,6,null
62,True,62,6,null
63,False,63,6,null
64,True,64,6,null
65,True,65,6,null
66,True,66,6,null
67,True,67,6,null
68,True,68,6,null
69,True,69,6,null
70,True,70,7,null
71,True,71,7,null
72,False,72,7,null
73,True,73,7,null
74,True,74,7,null
75,True,75,7,null
76,True,76,7,null
77,True,77,7,null
78,False,78,7,null
79,False,79,7,null
80,True,80,7,null
81,True,81,7,null
82,False,82,7,null
83,True,83,8,null
84,True,84,8,null
85,True,85,8,null
86,False,86,8,null
87,False,87,8,null
88,True,88,8,null
89,True,89,8,null
90,True,90,8,null
91,True,91,8,null
92,True,92,8,null
93,True,93,8,null
94,True,94,8,null
95,True,95,9,null
96,False,96,9,null
97,True,97,9,null
98,True,98,9,null
99,True,99,9,null
100,True,100,9,null
101,False,101,9,null
102,False,102,9,null
103,True,103,9,null
104,False,104,9,null
105,False,105,9,null
106,True,106,9,null
107,False,107,9,null
108,True,108,10,null
109,False,109,10,null
110,True,110,10,null
111,False,111,10,null
112,True,112,10,null
113,True,113,10,null
114,True,114,10,null
115,False,115,10,null
116,False,116,10,null
117,True,117,10,null
118,True,118,10,null
119,False,119,10,null
120,True,120,10,null
121,False,121,10,null
122,False,122,11,null
123,True,123,11,null
124,True,124,11,null
125,True,125,11,null
126,False,126,11,null
127,True,127,11,null
128,True,128,11,null
129,True,129,11,null
130,True,130,11,null
131,True,131,11,null
132,True,132,12,null
133,True,133,12,null
134,False,134,12,null
135,False,135,12,null
136,True,136,12,null
137,True,137,12,null
138,True,138,12,null
139,True,139,12,null
140,True,140,12,null
141,False,141,12,null
142,True,142,12,null
143,False,143,12,null
144,True,144,12,null
145,True,145,12,null
146,True,146,12,null
147,True,147,13,null
148,False,148,13,null
149,False,149,13,null
150,True,150,13,null
151,True,151,13,null
152,False,152,13,null
153,True,153,13,null
154,True,154,13,null
155,True,155,13,null
156,False,156,13,null
157,True,157,14,null
158,True,158,14,null
159,True,159,14,null
160,True,160,14,null
161,True,161,14,null
162,True,162,14,null
163,False,163,14,null
164,True,164,14,null
165,False,165,14,null
166,True,166,14,null
167,False,167,14,null
168,False,168,14,null
169,True,169,15,null
170,False,170,15,null
171,True,171,15,null
172,False,172,15,null
173,True,173,15,null
174,True,174,15,null
175,False,175,15,null
176,True,176,15,null
177,True,177,15,null
178,True,178,15,null
179,False,179,15,null
180,True,180,16,null
181,True,181,16,null
182,True,182,16,null
183,True,183,16,null
184,True,184,16,null
185,False,185,16,null
186,True,186,16,null
187,True,187,16,null
188,True,188,16,null
189,True,189,16,null
190,False,190,16,null
191,False,191,16,null
192,True,192,16,null
193,False,193,16,null
194,True,194,16,null
195,False,195,17,null
196,True,196,17,null
197,False,197,17,null
