user_id,learning_path_id_1,learning_path_id_2,learning_path_id_3,learning_path_id_4,learning_path_id_5,learning_path_id_6,learning_path_id_7,learning_path_id_8,learning_path_id_9,learning_path_id_10,learning_path_id_11,learning_path_id_12,learning_path_id_13,learning_path_id_14,learning_path_id_15,learning_path_id_16,learning_path_id_17,learning_path_id_18,learning_path_id_19,learning_path_id_20
1,83.0,83.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,78.0,83.0,74.0,0.0
2,0.0,76.75,0.0,0.0,0.0,87.5,0.0,74.0,0.0,0.0,0.0,75.0,86.0,0.0,0.0,0.0,83.5,72.0,86.0,78.0
3,0.0,77.4,0.0,69.0,0.0,85.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,83.0,0.0,0.0,0.0
4,0.0,78.75,76.5,75.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,95.0,71.0,0.0,72.0,82.0,0.0,74.0,0.0
5,0.0,72.0,0.0,0.0,93.0,77.0,76.0,82.0,0.0,0.0,75.0,0.0,83.0,85.0,0.0,84.5,91.0,0.0,0.0,0.0
6,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,78.0,0.0,0.0,0.0,83.67,88.0,90.0,93.0,0.0,0.0,0.0
7,0.0,78.0,0.0,79.0,0.0,0.0,0.0,83.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,90.0,88.0,0.0,78.0,0.0
8,80.0,83.8,0.0,0.0,73.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,86.0,0.0,0.0,0.0
9,87.0,78.4,70.0,87.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,67.0,78.0,80.0,0.0,0.0,71.0
10,78.5,81.25,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,73.0,81.0,82.5,0.0,0.0,73.0
11,91.0,83.75,82.0,91.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,88.0,0.0
12,0.0,78.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,82.0,0.0,69.0,76.0,0.0,0.0,85.5
13,78.5,80.0,86.0,0.0,0.0,0.0,0.0,94.0,0.0,85.0,0.0,79.0,74.0,96.0,0.0,0.0,80.0,0.0,83.0,0.0
14,92.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,77.0,0.0,0.0,0.0,75.0,0.0,83.0,0.0
15,0.0,78.25,75.0,86.0,93.0,0.0,76.0,85.0,0.0,0.0,86.0,0.0,0.0,0.0,79.0,76.0,80.0,0.0,0.0,89.0
16,0.0,79.5,0.0,0.0,0.0,0.0,0.0,76.0,90.0,0.0,0.0,89.0,0.0,80.0,0.0,0.0,73.5,0.0,0.0,83.0
17,0.0,78.6,0.0,78.0,79.0,80.0,0.0,92.0,0.0,0.0,0.0,85.0,0.0,0.0,72.0,0.0,86.0,0.0,0.0,71.0
18,81.5,84.0,0.0,0.0,69.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,72.0,0.0,0.0
19,0.0,77.75,0.0,0.0,82.0,70.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,78.5,0.0,0.0,0.0
20,90.0,78.2,0.0,0.0,0.0,0.0,96.0,89.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,71.0,70.0
21,82.0,81.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,83.0,77.0,88.0,92.0,77.0,88.0,0.0,73.0
22,0.0,79.6,0.0,0.0,0.0,78.0,71.0,96.0,0.0,0.0,0.0,82.0,81.0,0.0,74.0,86.0,78.0,85.0,0.0,0.0
23,0.0,84.25,80.0,70.0,0.0,0.0,78.0,0.0,0.0,0.0,89.0,78.0,0.0,86.0,0.0,0.0,84.0,91.0,0.0,88.0
24,81.0,78.75,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,69.0,90.0,0.0,0.0
25,0.0,82.5,0.0,84.0,84.0,0.0,0.0,0.0,84.0,77.0,0.0,83.0,0.0,66.0,0.0,0.0,81.0,0.0,0.0,0.0
26,80.0,85.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,74.0,0.0,93.0,0.0
27,0.0,77.5,75.0,0.0,78.0,87.0,93.0,0.0,0.0,85.5,81.0,0.0,0.0,0.0,0.0,83.0,70.0,78.0,0.0,0.0
28,0.0,76.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,79.0,90.0,89.0,0.0,0.0,0.0,83.0,0.0,0.0,82.0
29,0.0,78.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,88.0,0.0,75.0,74.0,0.0,75.0,0.0,78.5,0.0
30,0.0,85.0,0.0,0.0,80.0,0.0,0.0,93.0,77.5,0.0,85.0,88.0,75.0,94.0,0.0,0.0,80.5,0.0,0.0,81.5
31,0.0,77.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,78.0,0.0,81.0,82.0
32,0.0,79.25,0.0,71.0,0.0,0.0,0.0,0.0,73.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,79.5,81.0,0.0,0.0
33,85.0,79.25,84.0,0.0,0.0,84.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,84.0,0.0
34,0.0,85.0,82.0,0.0,0.0,0.0,0.0,77.0,0.0,86.0,0.0,0.0,0.0,79.0,82.0,78.0,85.0,0.0,0.0,70.0
35,0.0,77.75,68.0,0.0,81.0,0.0,84.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.5,0.0,0.0,0.0
36,0.0,78.5,0.0,0.0,81.0,74.0,86.0,0.0,90.0,0.0,0.0,0.0,86.5,0.0,0.0,0.0,81.0,77.0,76.5,0.0
37,81.5,74.25,0.0,0.0,0.0,0.0,85.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,94.0,0.0,81.0
38,0.0,77.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,79.5,0.0,0.0,85.0,89.0,84.0,0.0,91.0,0.0
39,0.0,83.75,0.0,0.0,61.0,71.0,0.0,0.0,0.0,0.0,75.0,0.0,80.0,0.0,0.0,0.0,72.0,73.0,88.0,77.5
40,0.0,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.25,0.0,0.0,0.0,0.0,0.0,79.5,0.0,65.0,0.0
41,0.0,73.75,81.33,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,84.0,0.0,71.0,72.0,75.0,0.0,0.0
42,0.0,80.5,91.0,0.0,72.5,70.0,75.0,0.0,0.0,0.0,0.0,75.5,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0
43,86.0,84.25,0.0,0.0,0.0,81.0,0.0,74.0,76.0,76.0,0.0,79.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0
44,0.0,75.0,0.0,0.0,0.0,74.0,0.0,84.0,0.0,0.0,0.0,0.0,79.5,92.0,0.0,0.0,88.5,0.0,0.0,0.0
45,80.0,78.0,72.0,0.0,82.0,89.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,78.0,77.0,88.0,0.0,76.0
46,0.0,78.5,85.5,0.0,0.0,0.0,92.0,84.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,72.0,88.0,0.0,0.0,0.0
47,0.0,82.5,0.0,76.0,0.0,0.0,0.0,63.5,71.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,77.0,0.0,0.0,78.0
48,89.0,80.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,94.0,74.0,80.67,0.0,0.0,0.0
