title,course_count,average_user_rating
Full Stack Development,10,80.64670658682634
Data Science,10,79.98791
Machine Learning,10,80.44854938271605
Cybersecurity,10,80.22595611285267
Cloud Computing,10,80.62929203539824
Mobile App Development,10,79.51116279069767
DevOps,10,80.23230088495575
Web Development,10,79.8601461988304
Game Development,10,79.79531722054381
Digital Marketing,10,80.46979532163742
Blockchain Technology,10,80.125
Artificial Intelligence,10,80.30621301775147
UI/UX Design,10,80.05094285714286
IT Support,10,80.4666875
Project Management,10,79.87552469135802
Sales Skills,10,80.71348314606742
Business Analysis,10,80.25193515704154
Human Resources,10,79.46670588235294
Finance Basics,10,80.30348973607039
Content Creation,10,79.76496894409938
