id,rating,user_id,assignment_id
1,80,1,1
2,70,1,2
3,71,1,3
4,84,1,4
5,80,1,5
6,69,1,6
7,81,1,7
8,85,1,8
9,81,1,9
10,83,1,10
11,73,1,11
12,82,1,12
13,83,2,13
14,73,2,14
15,81,2,15
16,88,2,16
17,79,2,17
18,83,2,18
19,74,2,19
20,65,2,20
21,75,2,21
22,71,2,22
23,81,3,23
24,93,3,24
25,92,3,25
26,83,3,26
27,79,3,27
28,80,3,28
29,78,3,29
30,80,3,30
31,90,3,31
32,85,3,32
33,89,3,33
34,87,4,34
35,82,4,35
36,80,4,36
37,77,4,37
38,79,4,38
39,71,4,39
40,80,4,40
41,79,4,41
42,70,4,42
43,71,4,43
44,69,4,44
45,83,5,45
46,76,5,46
47,75,5,47
48,80,5,48
49,76,5,49
50,71,5,50
51,84,5,51
52,73,5,52
53,75,5,53
54,94,5,54
55,75,5,55
56,68,5,56
57,84,5,57
58,85,6,58
59,70,6,59
60,73,6,60
61,92,6,61
62,65,6,62
63,94,6,63
64,78,6,64
65,72,6,65
66,78,6,66
67,75,6,67
68,81,7,68
69,84,7,69
70,74,7,70
71,79,7,71
72,96,7,72
73,75,7,73
74,68,7,74
75,92,7,75
76,88,7,76
77,71,7,77
78,84,7,78
79,76,8,79
80,79,8,80
81,73,8,81
82,80,8,82
83,82,8,83
84,83,8,84
85,64,8,85
86,88,8,86
87,84,8,87
88,86,8,88
89,91,8,89
90,76,8,90
91,79,8,91
92,74,9,92
93,73,9,93
94,73,9,94
95,65,9,95
96,86,9,96
97,88,9,97
98,85,9,98
99,73,9,99
100,85,9,100
101,88,9,101
102,77,9,102
103,88,9,103
104,78,9,104
105,92,9,105
106,75,9,106
107,90,10,107
108,80,10,108
109,76,10,109
110,82,10,110
111,82,10,111
112,76,10,112
113,71,10,113
114,75,10,114
115,74,10,115
116,80,10,116
117,74,11,117
118,81,11,118
119,82,11,119
120,70,11,120
121,91,11,121
122,72,11,122
123,77,11,123
124,77,11,124
125,74,11,125
126,72,11,126
127,87,11,127
128,74,11,128
129,87,11,129
130,84,12,130
131,89,12,131
132,80,12,132
133,67,12,133
134,77,12,134
135,84,12,135
136,69,12,136
137,75,12,137
138,96,12,138
139,80,12,139
140,85,12,140
141,74,13,141
142,75,13,142
143,71,13,143
144,91,13,144
