id,is_certified,user_id,assignment_id
1,True,1,1
2,True,1,2
3,False,1,3
4,True,1,4
5,True,1,5
6,True,1,6
7,False,1,7
8,True,1,8
9,True,1,9
10,False,1,10
11,True,1,11
12,True,2,12
13,True,2,13
14,True,2,14
15,True,2,15
16,False,2,16
17,True,2,17
18,True,2,18
19,True,2,19
20,False,2,20
21,True,2,21
22,True,2,22
23,False,2,23
24,True,2,24
25,True,3,25
26,True,3,26
27,True,3,27
28,True,3,28
29,True,3,29
30,False,3,30
31,True,3,31
32,True,3,32
33,True,3,33
34,True,3,34
35,True,4,35
36,True,4,36
37,True,4,37
38,False,4,38
39,True,4,39
40,True,4,40
41,True,4,41
42,False,4,42
43,True,4,43
44,False,4,44
45,True,5,45
46,True,5,46
47,False,5,47
48,False,5,48
49,True,5,49
50,True,5,50
51,True,5,51
52,True,5,52
53,True,5,53
54,True,5,54
55,True,5,55
56,True,5,56
57,True,6,57
58,True,6,58
59,False,6,59
60,False,6,60
61,True,6,61
62,True,6,62
63,False,6,63
64,True,6,64
65,True,6,65
66,True,6,66
67,True,6,67
68,True,6,68
69,True,6,69
70,True,7,70
71,True,7,71
72,False,7,72
73,True,7,73
74,True,7,74
75,True,7,75
76,True,7,76
77,True,7,77
78,False,7,78
79,False,7,79
80,True,7,80
81,True,7,81
82,False,7,82
83,True,8,83
84,True,8,84
85,True,8,85
86,False,8,86
87,False,8,87
88,True,8,88
89,True,8,89
90,True,8,90
91,True,8,91
92,True,8,92
93,True,8,93
94,True,8,94
95,True,9,95
96,False,9,96
97,True,9,97
98,True,9,98
99,True,9,99
100,True,9,100
101,False,9,101
102,False,9,102
103,True,9,103
104,False,9,104
105,False,9,105
106,True,9,106
107,False,9,107
108,True,10,108
109,False,10,109
110,True,10,110
111,False,10,111
112,True,10,112
113,True,10,113
114,True,10,114
115,False,10,115
116,False,10,116
117,True,10,117
118,True,10,118
119,False,10,119
120,True,10,120
121,False,10,121
122,False,11,122
123,True,11,123
124,True,11,124
125,True,11,125
126,False,11,126
127,True,11,127
128,True,11,128
129,True,11,129
130,True,11,130
131,True,11,131
132,True,12,132
133,True,12,133
134,False,12,134
135,False,12,135
136,True,12,136
137,True,12,137
138,True,12,138
139,True,12,139
140,True,12,140
141,False,12,141
142,True,12,142
143,False,12,143
144,True,12,144
145,True,12,145
146,True,12,146
147,True,13,147
148,False,13,148
149,False,13,149
150,True,13,150
151,True,13,151
152,False,13,152
153,True,13,153
154,True,13,154
155,True,13,155
156,False,13,156
157,True,14,157
158,True,14,158
159,True,14,159
160,True,14,160
161,True,14,161
162,True,14,162
163,False,14,163
164,True,14,164
165,False,14,165
166,True,14,166
167,False,14,167
168,False,14,168
169,True,15,169
170,False,15,170
171,True,15,171
