id,user_id,course_id,progress,assignment_date,quiz_score,engagement_score,assignment_grade
1,1,12,100,2024-10-14 06:33:13.744000,74.0,67,79
2,1,166,100,2024-10-14 06:33:13.744000,72.0,53,55
3,1,13,100,2024-10-14 06:33:13.745000,65.0,96,52
4,1,17,100,2024-10-14 06:33:13.745000,60.0,90,97
5,1,20,100,2024-10-14 06:33:13.745000,68.0,64,84
6,1,151,100,2024-10-14 06:33:13.745000,73.0,60,50
7,1,54,100,2024-10-14 06:33:13.745000,68.0,79,84
8,1,185,100,2024-10-14 06:33:13.745000,66.0,85,96
9,1,135,100,2024-10-14 06:33:13.745000,90.0,58,67
10,1,197,100,2024-10-14 06:33:13.745000,90.0,68,70
11,1,136,100,2024-10-14 06:33:13.745000,59.0,94,65
12,1,154,100,2024-10-14 06:33:13.745000,64.0,84,88
13,2,13,100,2024-10-14 06:33:13.745000,89.0,96,63
14,2,166,100,2024-10-14 06:33:13.745000,75.0,85,53
15,2,17,100,2024-10-14 06:33:13.745000,52.0,86,98
16,2,20,100,2024-10-14 06:33:13.745000,75.0,83,96
17,2,12,100,2024-10-14 06:33:13.745000,62.0,69,87
18,2,168,100,2024-10-14 06:33:13.745000,75.0,99,78
19,2,100,100,2024-10-14 06:33:13.745000,57.0,92,72
20,2,102,100,2024-10-14 06:33:13.745000,58.0,52,56
21,2,57,100,2024-10-14 06:33:13.745000,60.0,59,80
22,2,56,100,2024-10-14 06:33:13.745000,66.0,59,64
23,3,13,100,2024-10-14 06:33:13.745000,89.0,99,56
24,3,17,100,2024-10-14 06:33:13.745000,92.0,76,96
25,3,166,100,2024-10-14 06:33:13.745000,82.0,90,98
26,3,12,100,2024-10-14 06:33:13.745000,97.0,79,60
27,3,20,100,2024-10-14 06:33:13.745000,93.0,65,56
28,3,183,100,2024-10-14 06:33:13.745000,98.0,65,56
29,3,3,100,2024-10-14 06:33:13.745000,70.0,94,68
30,3,51,100,2024-10-14 06:33:13.745000,78.0,88,67
31,3,169,100,2024-10-14 06:33:13.745000,88.0,94,86
32,3,45,100,2024-10-14 06:33:13.745000,84.0,85,78
